text,label
I love this movie,positive
This film is amazing,positive
Wonderful acting,positive
Great story,positive
Excellent performance,positive
Fantastic direction,positive
Very enjoyable film,positive
Brilliant screenplay,positive
Superb visuals,positive
Best movie ever,positive
I really liked it,positive
Highly recommended,positive
Loved every moment,positive
Beautiful cinematography,positive
Outstanding acting,positive
This movie made me happy,positive
Great entertainment,positive
Incredible experience,positive
A masterpiece,positive
Perfect film,positive
I hate this movie,negative
This film is terrible,negative
Worst acting ever,negative
Very boring story,negative
Awful direction,negative
Waste of time,negative
Horrible movie,negative
Extremely bad film,negative
Poor performance,negative
Disappointing experience,negative
I did not like it,negative
Very dull movie,negative
Pathetic acting,negative
Terrible screenplay,negative
Worst film ever,negative
Bad cinematography,negative
This movie is annoying,negative
Very slow and boring,negative
Completely useless movie,negative
Not worth watching,negative
Amazing soundtrack,positive
Loved the music,positive
Great acting and story,positive
This film was fantastic,positive
Enjoyed the whole movie,positive
Wonderful experience,positive
The plot was brilliant,positive
Very entertaining,positive
Excellent direction,positive
Beautifully made film,positive
Awful story,negative
Very disappointing,negative
I regret watching this,negative
Terrible acting and plot,negative
This movie was boring,negative
Poor storyline,negative
Worst experience ever,negative
Very bad performance,negative
Uninteresting movie,negative
Extremely disappointing,negative
Great movie with strong plot,positive
Loved the characters,positive
Perfect direction and acting,positive
Amazing visuals and music,positive
Very touching story,positive
Heartwarming film,positive
Outstanding screenplay,positive
Brilliant storytelling,positive
Highly entertaining movie,positive
Loved the ending,positive
The acting was horrible,negative
The plot made no sense,negative
Very annoying film,negative
Completely boring experience,negative
Waste of money,negative
Terrible visuals,negative
Worst direction ever,negative
Extremely dull movie,negative
Badly made film,negative
Very poor acting,negative
we didn't like this movie,negative
This film was a disappointment,negative
Not worth the hype,negative
Awful storyline,negative
Very bad movie,negative
evil eyes,negative
This movie was fantastic,positive
Amazing storyline,positive
Great acting and direction,positive
Loved the cinematography,positive
Beautifully crafted film,positive
Outstanding performance,positive
Highly recommended,positive
This movie was a masterpiece,positive
Perfectly executed,positive
Wonderful experience,positive
Terrible movie,negative
This film was awful,negative
Worst acting and direction,negative
Very bad storyline,negative
Awful cinematography,negative
Waste of time,negative
Horrible experience,negative
Extremely disappointing,negative
Amazing storytelling,positive
Brilliant direction,positive
Loved every moment,positive
Fantastic visuals,positive
Great acting throughout,positive
Superb screenplay,positive
Incredibly entertaining,positive
A truly inspiring film,positive
Heartwarming story,positive
Excellent character development,positive
Very engaging plot,positive
Top-notch cinematography,positive
Powerful performances,positive
Emotionally touching movie,positive
Beautiful background score,positive
Remarkably well made,positive
An absolute delight,positive
Captivating from start to finish,positive
Impressive storytelling style,positive
Very enjoyable experience,positive
Highly entertaining film,positive
Perfect pacing,positive
Outstanding visuals,positive
Memorable characters,positive
Great dialogue delivery,positive
A cinematic gem,positive
Wonderful direction style,positive
Thoroughly entertaining plot,positive
A visual masterpiece,positive
Simply brilliant movie,positive
Perfectly balanced story,positive
Great emotional depth,positive
Excellent execution,positive
A must watch film,positive
Very satisfying ending,positive
Strong performances throughout,positive
Loved the cinematography,positive
Great musical score,positive
A beautifully told story,positive
Outstanding production quality,positive
Very impressive film,positive
Top quality storytelling,positive
Loved the character arcs,positive
Remarkable visual effects,positive
Brilliant screenplay writing,positive
Engaging narrative style,positive
Superb acting talent,positive
Great direction choices,positive
Very compelling story,positive
Emotionally powerful scenes,positive

Wonderful storytelling approach,positive
Great cinematic experience,positive
Fantastic plot twists,positive
Smooth narrative flow,positive
Very entertaining drama,positive
Exceptional filmmaking quality,positive
Great pacing throughout,positive
Brilliant visual design,positive
Loved the soundtrack,positive
Very creative storytelling,positive
A complete entertainer,positive
Highly engaging scenes,positive
Top tier acting performances,positive
Wonderful screenplay work,positive
Beautifully directed scenes,positive
Great use of music,positive
Emotionally satisfying ending,positive
Very immersive experience,positive
Excellent story depth,positive
Loved the emotional impact,positive
Perfect storytelling rhythm,positive
Outstanding artistic vision,positive
Very well structured film,positive
Fantastic production value,positive
Brilliant editing work,positive
Memorable movie moments,positive
Great visual storytelling,positive
A rewarding viewing experience,positive
Extremely enjoyable watch,positive
Very creative direction,positive
Amazing plot construction,positive
Perfect emotional balance,positive
Great storytelling clarity,positive
Wonderful acting chemistry,positive
Truly captivating film,positive
Brilliant narrative style,positive
Exceptional scene composition,positive
Loved the pacing,positive
Very satisfying storytelling,positive
Impressive visual storytelling,positive
Great dramatic intensity,positive
Outstanding narrative depth,positive
Excellent emotional storytelling,positive
Beautifully acted scenes,positive
Great cinematic presentation,positive
Very engaging performances,positive
Strong emotional connection,positive
Fantastic direction quality,positive
Loved the filmâ€™s energy,positive
Perfect cinematic tone,positive

Boring and predictable,negative
Very poorly directed,negative
Weak storyline overall,negative
Terrible acting performances,negative
Uninteresting plot,negative
Painfully slow pacing,negative
Disappointing visual quality,negative
Poor character development,negative
Very confusing narrative,negative
Lackluster execution,negative
Extremely dull movie,negative
Badly written screenplay,negative
Forgettable performances,negative
Unconvincing acting,negative
Poorly edited scenes,negative
Very messy storytelling,negative
Weak emotional impact,negative
Disappointing direction,negative
Very shallow characters,negative
Painfully predictable plot,negative
Low production quality,negative
Very unsatisfying ending,negative
Uninspired storytelling,negative
Terribly executed scenes,negative
Very boring experience,negative
Poor visual effects,negative
Flat character arcs,negative
Extremely weak dialogue,negative
Clumsy storytelling style,negative
Bad pacing throughout,negative
Very frustrating film,negative
Poor narrative structure,negative
Lacked emotional depth,negative
Disjointed storyline,negative
Weak plot development,negative
Unmemorable scenes,negative
Poor acting chemistry,negative
Extremely disappointing film,negative
Awkward direction choices,negative
Weak cinematic presentation,negative
Very bland storytelling,negative
Terribly written script,negative
Unengaging movie overall,negative
Poor scene composition,negative
Very repetitive scenes,negative
Extremely forgettable movie,negative
Lacked creative vision,negative
Very sloppy editing,negative
Poor dramatic tension,negative
Uninspired visuals,negative
Very underwhelming experience,negative
Weak emotional storytelling,negative
Poor cinematic tone,negative
Very predictable ending,negative
Badly paced film,negative
Uninteresting characters,negative
Weak visual storytelling,negative
Extremely bland plot,negative
Poor production design,negative
Very confusing scenes,negative
Unfocused narrative flow,negative
Very dull cinematography,negative
Weak story execution,negative
Lacked originality,negative
Very forced dialogue,negative
Poor directorial vision,negative
Messy storytelling approach,negative
Very inconsistent pacing,negative
Unconvincing emotional scenes,negative
Weak storytelling clarity,negative
Poor dramatic execution,negative
Extremely uneven film,negative
Very lifeless performances,negative
Flat emotional tone,negative
Uninteresting visual design,negative
Very chaotic narrative,negative
Weak audience engagement,negative
Very unsatisfying story,negative
Poorly structured plot,negative
Lacked narrative focus,negative
Very weak screenplay,negative
Bad storytelling rhythm,negative
Very shallow storytelling,negative
Unpleasant viewing experience,negative
Very poorly crafted film,negative
Weak creative direction,negative
Poor cinematic quality,negative
Extremely uninspiring movie,negative
Very fragmented storytelling,negative
Weak artistic vision,negative
Poor storytelling impact,negative
Very lifeless narrative,negative
Unbalanced storytelling,negative
Weak cinematic atmosphere,negative
Very awkward pacing,negative
Poor storytelling execution,negative
Very forgettable characters,negative
Weak scene transitions,negative
Extremely weak plot,negative
Very unsatisfying experience,negative
bharath,positive